draw,shift,net_pnl,sharpe_net,gross_pnl,sharpe_gross
1,809947,-9.347475672632372,-0.18838909221649408,0.009339419956989503,0.0007094594521638936
2,607004,-9.54795027678691,-0.19157615369106268,-0.014553748186481585,-0.0012142663588742915
3,487492,-9.666053325774092,-0.1897349855291471,0.011011276958004523,0.0008428134437022314
4,258251,-9.650721262296653,-0.18984358245604302,-0.014975229763284248,-0.0011069122676306518
5,294385,-9.657481922538068,-0.18950892164051178,0.010210345853963299,0.0007601625589356205
6,40917,-9.53510272228148,-0.1873691931220885,-0.0066960651153518125,-0.0004933785873491098
7,73465,-9.793626391129525,-0.18980362698005118,0.018517803262549704,0.0014441558805767638
8,17698,-9.516067234142248,-0.18730957375159327,-0.007513743910053772,-0.0005707904325687663
9,168473,-9.535007554394912,-0.19043041998435606,-0.0032475996506546867,-0.00025788324790563334
10,774467,-9.432403610040254,-0.19018753172354583,0.016439957275730777,0.001327445993357508
11,618833,-9.427940092460322,-0.19025176646945385,0.011475830419118926,0.0009331868003366446
12,868961,-9.16942481988287,-0.18783302138785377,0.014894317278359992,0.0012288286545634793
13,480359,-9.567364603895962,-0.1895730835229085,0.006437351354854126,0.0005073496770182412
14,578200,-9.467326399966872,-0.19075681469836941,0.009735669834082916,0.0008039311633363172
15,924039,-9.456328382804976,-0.18728171447611533,0.006138491811301883,0.0004886451969176863
16,694896,-9.52548630248241,-0.19050889791521022,0.005072161632297623,0.00040750554759976773
17,602549,-9.472963273759953,-0.18996625427481104,0.011635141810733107,0.0009116303415663769
18,518350,-9.61114571248958,-0.19066052146605023,0.0012741893066990917,0.00010166514034260441
19,533825,-9.638598152615733,-0.19108037325655464,-0.003590887778076479,-0.0002835567713339055
20,890158,-9.291737513543136,-0.18719070702426574,0.002664208024909631,0.00020591413604486016
21,265432,-9.621355213416804,-0.18956931084424547,0.00043980656826780873,3.270068391055122e-05
22,776921,-9.387317928237639,-0.19007530789886146,0.025678769978710547,0.0020747537393148545
23,639217,-9.512837175926375,-0.19039600977006052,-0.004358247648759472,-0.00034377053109974445
24,4601,-9.453503497339403,-0.18680538852926873,0.0072720801657903955,0.0005521082745931268
