regime_dimension,regime,signal,horizon,n_obs,rank_ic
volatility_regime,medium,ofi,5,302049,0.13324877129685803
volatility_regime,medium,ofi,10,302049,0.15178520850009572
volatility_regime,medium,ofi,25,302049,0.14847143219925807
volatility_regime,medium,ofi,50,302049,0.1621513092213772
volatility_regime,medium,ofi,100,302049,0.18108229512997934
volatility_regime,medium,queue_imbalance,1,302049,0.08211302932435126
volatility_regime,medium,queue_imbalance,5,302049,0.11987156788206929
volatility_regime,medium,queue_imbalance,10,302049,0.15508166004079268
volatility_regime,medium,queue_imbalance,25,302049,0.22438573158107994
volatility_regime,medium,queue_imbalance,50,302049,0.2757011484073087
volatility_regime,medium,queue_imbalance,100,302049,0.3053312229413042
volatility_regime,medium,microprice_deviation,1,302049,0.07006602567290122
volatility_regime,medium,microprice_deviation,5,302049,0.11270757587544851
volatility_regime,medium,microprice_deviation,10,302049,0.15065581398199862
volatility_regime,medium,microprice_deviation,25,302049,0.22482837903802236
volatility_regime,medium,microprice_deviation,50,302049,0.2867145528391142
volatility_regime,medium,microprice_deviation,100,302049,0.3226705275714633
volatility_regime,medium,spread,1,302049,0.00029520894273738955
volatility_regime,medium,spread,5,302049,0.0035928954495369155
volatility_regime,medium,spread,10,302049,0.00735525844655857
volatility_regime,medium,spread,25,302049,0.007646999268636906
volatility_regime,medium,spread,50,302049,0.010274154429172618
volatility_regime,medium,spread,100,302049,0.017222414212147454
volatility_regime,high,ofi,1,290727,0.06732746494724787
volatility_regime,high,ofi,5,290727,0.10116912794712934
volatility_regime,high,ofi,10,290727,0.11498180273150871
volatility_regime,high,ofi,25,290727,0.12574378683341142
volatility_regime,high,ofi,50,290727,0.14768670239405798
volatility_regime,high,ofi,100,290727,0.16528674866342968
volatility_regime,high,queue_imbalance,1,290727,0.07785087247949483
volatility_regime,high,queue_imbalance,5,290727,0.12189171338691888
volatility_regime,high,queue_imbalance,10,290727,0.16543889706120726
volatility_regime,high,queue_imbalance,25,290727,0.2447236069708581
volatility_regime,high,queue_imbalance,50,290727,0.3087720269185523
volatility_regime,high,queue_imbalance,100,290727,0.33664129109017865
volatility_regime,high,microprice_deviation,1,290727,0.06684734585134228
volatility_regime,high,microprice_deviation,5,290727,0.11612775963707073
volatility_regime,high,microprice_deviation,10,290727,0.16169189663970826
volatility_regime,high,microprice_deviation,25,290727,0.2447960387397781
