group_key,instrument,observations,start,end,duration_minutes,median_gap_s,max_gap_s
AAPL|2012-06-21,AAPL,99799,2012-06-21 09:30:00.004241176,2012-06-21 15:59:59.913117637,389.9984812666667,0.0030932785,17.982765718
AMZN|2012-06-21,AMZN,51701,2012-06-21 09:30:00.017459617,2012-06-21 15:59:59.959359650,389.99903166666667,0.0035949265,42.228843118
GOOG|2012-06-21,GOOG,42603,2012-06-21 09:30:00.015105074,2012-06-21 15:59:59.320718269,389.9884268833333,0.003365018,36.420927227
INTC|2012-06-21,INTC,374864,2012-06-21 09:30:00.005742728,2012-06-21 15:59:59.948441634,389.99904496666664,6.973e-05,9.74141497
MSFT|2012-06-21,MSFT,384862,2012-06-21 09:30:00.013994120,2012-06-21 15:59:59.861566671,389.9974595333333,3.9739e-05,12.213735631
