fold,chosen_signals,chosen_threshold,train_sharpe,validation_sharpe,test_sharpe,test_net_pnl,test_gross_pnl,test_n_obs,test_instruments
1,microprice_deviation,3.0,-0.01635402692783729,-0.008397729511819949,-0.021040522308899936,-0.007326025668164081,0.00018989564920746105,57230,5
2,spread,3.0,-0.013998925157848363,-0.010195673777428995,-0.013055950375750214,-0.003732333900915934,-0.0003785402943077276,57230,5
3,spread,3.0,-0.01298336346001189,-0.00804789923484754,-0.02131151736440541,-0.008057672904440013,-4.543818743629746e-05,57230,5
4,spread,3.0,-0.012244183848473792,-0.012675461672970281,-0.019528124078873915,-0.005698467864839867,0.0006390752303777614,57230,5
5,spread,3.0,-0.01312756142498245,-0.01662539980599491,-0.01561273706345046,-0.004142907951941268,-0.0003096167871774469,57230,5
