threshold,net_pnl,sharpe_net,n_trades,exposure
0.25,-23.13732544598045,-0.29054473252506613,100891,0.6446365124146991
0.5,-14.483031266532658,-0.23341922557103958,70395,0.4575463736162352
1.0,-8.429609910227903,-0.17729833389648528,41250,0.23580117610179602
1.5,-5.372769021376203,-0.13866040891785716,24414,0.1172379954897576
2.0,-3.216452657201632,-0.10543170744655289,13472,0.05737401567786259
3.0,-0.9587124087321746,-0.05591840037285359,3581,0.013752989267468279
