signal,r2_on_others,vif
ofi,0.01770057522812385,1.0180195312974296
queue_imbalance,0.8213453488265067,5.597391354949331
microprice_deviation,0.8209056352219519,5.583648604685589
spread,0.008557721886618852,1.0086315886214812
