strategy,n_signals,gross_pnl,net_pnl,sharpe_net,turnover,max_drawdown,hit_rate,cost_share_of_gross,exposure
A: ofi,1,0.421662244751141,-8.429609910227903,-0.17729833389648528,41276.0,-8.42960991022656,0.07591790639977947,20.991379392297592,0.23580117610179602
B: queue_imbalance,1,0.7200869127532448,-17.94268713052971,-0.24692979385669542,85855.0,-17.942704224547253,0.062387205366745864,25.917390960385642,0.3450702379566987
C: microprice_deviation,1,0.7038110165468208,-16.69888656242096,-0.2302290756639059,71279.0,-16.698886562420423,0.04438317792386408,24.726378487725864,0.33235726739279264
D: spread,1,-0.006737034870221592,-6.59672210149189,-0.1495667805879877,33191.0,-6.596884505905209,0.04724092424005189,-978.1729193283682,0.32809759401318267
E: all signals,4,0.8467335514428267,-20.599701993499558,-0.26845931557187025,96714.0,-20.599701993500375,0.056079914111002195,25.328434793209553,0.4492000138389586
F: all + regime filter,4,0.5603792478377948,-16.60775294719617,-0.2358802432689335,70630.0,-16.607752947196,0.04567902441886619,30.636630926781546,0.32162054204684487
