instrument,net_pnl,sharpe_net,n_trades
AAPL,-0.7415150130410207,-0.1825528274701108,5973
AMZN,-0.9870626513685056,-0.21574665144605107,3503
GOOG,-0.9681352043231456,-0.24815228791845348,3772
INTC,-2.7789825958769585,-0.1678071649226395,12840
MSFT,-2.9539144456182727,-0.18051593210055117,15162
