signal,horizon,n_instruments,ic_mean,ic_median,ic_std_across_instruments,ic_stderr,t_across_instruments,share_same_sign_as_mean,ic_min,ic_max
microprice_deviation,1,5,0.10489556661286441,0.09551735045078637,0.031041611261309526,0.013882230582282218,7.556103177449148,1.0,0.08067513772115933,0.15930998931364718
microprice_deviation,5,5,0.1420823695331833,0.1588214738982812,0.04785072768173794,0.02139949597383939,6.639519440405381,1.0,0.0699648692324525,0.19461655334967926
microprice_deviation,10,5,0.15629761014851748,0.14484278131753867,0.082468937539104,0.03688123007392415,4.237863266361697,1.0,0.05446880444741863,0.256701064316713
microprice_deviation,25,5,0.1767553719993719,0.10817860934018271,0.14332909483685277,0.06409871984174338,2.757549174706957,1.0,0.026869685064204556,0.3502763528156995
microprice_deviation,50,5,0.18938338108418934,0.07332927119167494,0.19212802595132344,0.08592226528200059,2.20412462896113,1.0,0.01367535566878373,0.4140521406670315
microprice_deviation,100,5,0.18739537035194562,0.03740288784329076,0.22482622227502377,0.10054534322628611,1.863789652895171,1.0,0.010097487792775776,0.43631484325556263
ofi,1,5,0.08577113548945244,0.10447992108359612,0.0365678213180541,0.016353626851246982,5.244777581733333,1.0,0.04572330449335919,0.12193620031661231
ofi,5,5,0.1402458862091151,0.15598439263290761,0.05050795437045048,0.02258784387535697,6.208909844738278,1.0,0.08585124839256257,0.203496811330326
ofi,10,5,0.1616404874747039,0.18144856694494105,0.04934272956160737,0.022066739499028494,7.325073442853678,1.0,0.10755100393524354,0.2223066954759909
ofi,25,5,0.16366477925067824,0.16462438088001152,0.020339079475461184,0.009095912861380393,17.993221982762105,1.0,0.1388176277882655,0.19211864886648522
ofi,50,5,0.1561103224490494,0.14880134620954186,0.031335052927431724,0.014013461684858224,11.140025638185401,1.0,0.11708373776281047,0.19883242423890946
ofi,100,5,0.14592300713475323,0.10115153051746387,0.07168898443912948,0.032060288488763626,4.55151884194354,1.0,0.09136254325745498,0.24330095383286557
queue_imbalance,1,5,0.11390137128995367,0.10458914838012194,0.03708935932244602,0.016586865737380965,6.8669616727685945,1.0,0.08272784056288163,0.17794156823875135
queue_imbalance,5,5,0.14969287401017667,0.1699020618672537,0.04572848968719096,0.020450402289791416,7.319800945182456,1.0,0.0809631199288862,0.19826980163100966
queue_imbalance,10,5,0.16325805183271108,0.15066843956374884,0.08189622608795583,0.03662510572667218,4.457544861469674,1.0,0.06273286154257811,0.26260083052797095
queue_imbalance,25,5,0.18153820688553396,0.1076188678107311,0.14473901230354172,0.06472925410137954,2.8045774573766473,1.0,0.034066050671801726,0.35656792316366887
queue_imbalance,50,5,0.18907156652793336,0.06952236739682052,0.19057686123616782,0.08522856333252317,2.218406120378469,1.0,0.018135706276910062,0.41004465734611195
queue_imbalance,100,5,0.18332241493530468,0.03114625124689421,0.22096526973237562,0.09881867275763373,1.855139416665997,1.0,0.011231640798447486,0.42548529221774456
spread,1,5,0.005168723356818177,0.0018756108150958489,0.01084177657553872,0.004848589883953892,1.0660260984175516,0.6,-0.004375529544988966,0.021902793815087234
spread,5,5,0.0032255966025449474,-0.00674003275373036,0.0221106875538493,0.009888200079933115,0.32620664797134297,0.4,-0.02216782571478285,0.03116859803404057
spread,10,5,0.004978051826753767,-0.00926659597228826,0.024774641445417443,0.011079556478027408,0.4493006409260214,0.4,-0.01891968981249794,0.03696586347394348
spread,25,5,0.0027871995321427103,-0.009140434030614293,0.026299484619777876,0.011761487076606708,0.23697679672550742,0.4,-0.023436236811170453,0.0326024835404459
spread,50,5,0.0026350331978311605,-0.002943936818792781,0.025673761995295363,0.011481655411926212,0.22949941478770577,0.4,-0.029008179196324414,0.03183268688986778
spread,100,5,0.00609684561840791,0.013691682733253536,0.027720083201583885,0.012396798076138313,0.4918080927802866,0.8,-0.039743435616530015,0.03412345410780629
