model,signals,n_train,n_test,r2_in_sample,r2_out_of_sample,incremental_oos_r2
M1,ofi,667577,286107,0.010661200611350452,0.02179330092482068,0.02179330092482068
M2,ofi + queue_imbalance,667577,286107,0.03565781505761778,0.05484648647330037,0.03305318554847969
M3,ofi + queue_imbalance + microprice_deviation,667577,286107,0.03577918041392103,0.054398292898636624,-0.00044819357466374665
M4,ofi + queue_imbalance + microprice_deviation + spread,667577,286107,0.0362657093368971,0.05313251066715574,-0.001265782231480883
