period,start,end,n_obs,instruments,gross_pnl,net_pnl,sharpe_net,sharpe_gross
1,2012-06-21 09:30:00.004241152,2012-06-21 10:47:59.995264768,244942,5,0.1288336180736004,-2.525650774885915,-0.17699621405869786,0.02834206091897261
2,2012-06-21 10:47:59.995264768,2012-06-21 12:05:59.986288640,174743,5,0.06715879193586272,-1.3998052410223458,-0.17523935933987683,0.03280362932413259
3,2012-06-21 12:05:59.986288640,2012-06-21 13:23:59.977312256,157368,5,0.06706742286265144,-1.3821351784408913,-0.18220723405132255,0.03887801224658001
4,2012-06-21 13:23:59.977312256,2012-06-21 14:41:59.968336128,125155,5,0.05916063325068588,-1.164153486984208,-0.1900404005861147,0.036474299104387764
5,2012-06-21 14:41:59.968336128,2012-06-21 15:59:59.959359744,251621,5,0.08789507431786425,-1.749720580775088,-0.16475098726671258,0.03094897612714995
