horizon_events,median_seconds,mean_seconds,p95_seconds
1,9.823850000000001e-05,0.1226630349636264,0.6367847602499996
5,0.004288831,0.6133189705425505,3.24688427855
10,0.024215627,1.2266571535592994,6.095166989799999
25,0.358648138,3.066779875611693,14.066974212649987
50,1.449591703,6.1339041168470105,26.90730306919999
100,4.417534964,12.269353758241637,51.7443237218
