instrument,net_pnl,n_obs,share_of_total
AAPL,-0.7415150130410207,99799,0.08796551927525352
GOOG,-0.9681352043231456,42603,0.11484934826562705
AMZN,-0.9870626513685057,51701,0.11709470092689253
INTC,-2.7789825958769585,374864,0.3296691810738637
MSFT,-2.953914445618273,384862,0.35042125045836325
